,Country Name,Country Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
2,Afghanistan,AFG,1.6900000572204599,1.6900000572204599,1.6900000572204599,7.90999984741211,1.6900000572204599,1.6900000572204599,11.1800003051758,1.6900000572204599,1.6900000572204599,11.710000038147
5,Albania,ALB,13.479999542236301,13.380000114440902,15.869999885559098,18.0499992370605,17.1900005340576,15.4200000762939,13.619999885559098,12.3000001907349,11.470000267028801,11.470000267028801
8,Algeria,DZA,9.96000003814697,10.970000267028801,9.81999969482422,10.210000038147,11.210000038147,10.1999998092651,13.5699996948242,9.81999969482422,9.81999969482422,9.81999969482422
17,Angola,AGO,7.360000133514401,7.360000133514401,7.360000133514401,9.579999923706051,7.360000133514401,7.360000133514401,7.360000133514401,7.360000133514401,7.360000133514401,7.360000133514401
23,Argentina,ARG,7.17999982833862,7.21999979019165,7.099999904632571,7.26999998092651,7.099999904632571,7.099999904632571,8.35000038146973,9.22000026702881,9.84000015258789,11.460000038147
26,Armenia,ARM,18.4400005340576,17.2999992370605,16.1800003051758,17.5,18.2600002288818,17.6200008392334,17.7000007629395,18.9699993133545,18.2999992370605,18.1800003051758
29,Aruba,ABW,8.89999961853027,8.89999961853027,8.89999961853027,8.89999961853027,8.89999961853027,8.89999961853027,8.89999961853027,8.89999961853027,8.89999961853027,8.89999961853027
32,Australia,AUS,5.07999992370605,5.21999979019165,5.65999984741211,6.07999992370605,6.050000190734861,5.71000003814697,5.59000015258789,5.300000190734861,5.15999984741211,6.46000003814697
35,Austria,AUT,4.55999994277954,4.86999988555908,5.32999992370605,5.619999885559079,5.71999979019165,6.0100002288818395,5.5,4.84999990463257,4.48999977111816,5.3600001335144
38,Azerbaijan,AZE,5.42000007629395,5.19000005722046,4.96999979019165,4.90999984741211,4.96000003814697,5.0,4.96000003814697,4.94000005722046,4.84999990463257,7.15999984741211
41,"Bahamas, The",BHS,14.520000457763699,14.020000457763699,16.1800003051758,13.8000001907349,12.0,12.6999998092651,9.80000019073486,10.0,9.80000019073486,9.80000019073486
44,Bahrain,BHR,4.0,1.20000004768372,1.20000004768372,1.20000004768372,1.20000004768372,1.20000004768372,1.20000004768372,1.20000004768372,1.20000004768372,1.20000004768372
47,Bangladesh,BGD,4.349999904632569,4.349999904632569,4.42999982833862,4.349999904632569,4.349999904632569,4.349999904632569,4.36999988555908,4.349999904632569,4.349999904632569,4.349999904632569
50,Barbados,BRB,11.1899995803833,11.5900001525879,11.5500001907349,12.1700000762939,9.80000019073486,8.25,8.61999988555908,8.31999969482422,8.409999847412111,8.25
53,Belarus,BLR,0.6000000238418579,0.5,0.5,0.5,1.0,5.84000015258789,5.650000095367429,4.76000022888184,4.15999984741211,4.05000019073486
56,Belgium,BEL,7.139999866485599,7.53999996185303,8.43000030517578,8.52000045776367,8.47999954223633,7.82999992370605,7.09000015258789,5.949999809265139,5.3600001335144,5.550000190734861
59,Belize,BLZ,6.599999904632571,6.599999904632571,8.35000038146973,8.23999977111816,7.57999992370605,7.0,6.599999904632571,6.599999904632571,9.05000019073486,6.599999904632571
62,Benin,BEN,2.6500000953674303,1.4700000286102302,1.4700000286102302,1.4700000286102302,1.4700000286102302,1.4700000286102302,1.4700000286102302,1.4700000286102302,1.4700000286102302,1.4700000286102302
65,Bermuda,BMU,6.65999984741211,8.439999580383299,6.65999984741211,8.9399995803833,6.65999984741211,6.65999984741211,6.65999984741211,6.65999984741211,6.65999984741211,6.65999984741211
68,Bhutan,BTN,3.2300000190734903,2.04999995231628,2.8699998855590803,2.63000011444092,2.4500000476837203,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628
71,Bolivia,BOL,2.25,2.0699999332428,2.44000005722046,2.01999998092651,3.10999989509583,3.5,3.6500000953674303,3.5199999809265097,3.8199999332427996,7.900000095367429
74,Bosnia and Herzegovina,BIH,27.5799999237061,28.010000228881804,27.489999771118196,27.5200004577637,27.690000534057603,25.4099998474121,20.5300006866455,18.3999996185303,15.6899995803833,15.869999885559098
77,Botswana,BWA,22.6100006103516,22.6100006103516,22.6100006103516,22.6100006103516,22.6100006103516,22.6100006103516,22.6100006103516,22.6100006103516,22.6100006103516,24.9300003051758
80,Brazil,BRA,6.92000007629395,7.25,7.07000017166138,6.7600002288818395,8.560000419616701,11.7399997711182,12.9300003051758,12.460000038147,12.0500001907349,13.9300003051758
86,Brunei Darussalam,BRN,6.92000007629395,6.92000007629395,6.92000007629395,6.96999979019165,6.92000007629395,6.92000007629395,9.31999969482422,8.699999809265138,6.92000007629395,7.40999984741211
89,Bulgaria,BGR,11.2600002288818,12.270000457763699,12.9399995803833,11.4200000762939,9.14000034332275,7.57000017166138,6.15999984741211,5.21000003814697,4.230000019073491,5.11999988555908
92,Burkina Faso,BFA,4.69000005722046,4.69000005722046,4.69000005722046,6.48000001907349,4.69000005722046,4.69000005722046,4.69000005722046,4.69000005722046,4.69000005722046,4.69000005722046
95,Burundi,BDI,1.57000005245209,1.57000005245209,1.57000005245209,1.57000005245209,1.57000005245209,1.57000005245209,1.57000005245209,1.57000005245209,1.57000005245209,1.57000005245209
98,Cabo Verde,CPV,11.289999961853,11.289999961853,11.289999961853,11.289999961853,31.309999465942397,11.289999961853,12.2399997711182,12.1700000762939,11.289999961853,11.289999961853
101,Cambodia,KHM,0.5799999833106989,1.27999997138977,0.439999997615814,0.6899999976158139,0.38999998569488503,0.720000028610229,0.14000000059604598,0.14000000059604598,1.22000002861023,0.14000000059604598
104,Cameroon,CMR,3.52999997138977,3.52999997138977,3.52999997138977,3.52999997138977,3.52999997138977,3.52999997138977,3.52999997138977,3.52999997138977,3.52999997138977,3.52999997138977
107,Canada,CAN,7.5100002288818395,7.28999996185303,7.07000017166138,6.90999984741211,6.90999984741211,7.0,6.34000015258789,5.82999992370605,5.65999984741211,9.46000003814697
110,Cayman Islands,CYM,6.78000020980835,6.21000003814697,6.26999998092651,4.699999809265139,4.23999977111816,4.23999977111816,4.23999977111816,4.23999977111816,4.23999977111816,4.23999977111816
116,Chad,TCD,1.12999999523163,1.12999999523163,1.12999999523163,1.12999999523163,1.12999999523163,1.12999999523163,1.12999999523163,1.12999999523163,1.12999999523163,1.12999999523163
122,Chile,CHL,7.34000015258789,6.65999984741211,6.21000003814697,6.65999984741211,6.5100002288818395,6.7399997711181605,6.96000003814697,7.23000001907349,7.28999996185303,11.1800003051758
125,China,CHN,4.099999904632569,4.099999904632569,4.05000019073486,4.099999904632569,3.79999995231628,3.79999995231628,3.9000000953674303,3.79999995231628,5.15000009536743,3.79999995231628
128,Colombia,COL,10.1099996566772,9.73999977111816,9.05000019073486,8.56999969482422,8.300000190734862,8.689999580383299,8.86999988555908,9.10999965667725,9.96000003814697,15.039999961853
131,Comoros,COM,8.14000034332275,8.14000034332275,8.14000034332275,8.14000034332275,8.14000034332275,8.14000034332275,8.14000034332275,8.14000034332275,8.14000034332275,8.14000034332275
134,"Congo, Dem. Rep.",COD,4.48999977111816,4.48999977111816,4.48999977111816,4.48999977111816,4.48999977111816,4.48999977111816,4.48999977111816,4.48999977111816,4.48999977111816,4.48999977111816
137,"Congo, Rep.",COG,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
140,Costa Rica,CRI,10.1400003433228,9.77999973297119,8.77000045776367,9.0600004196167,9.0,8.60000038146973,8.14000034332275,9.63000011444092,11.4899997711182,17.4099998474121
143,Cote d'Ivoire,CIV,2.5999999046325697,7.21999979019165,4.25,2.5999999046325697,2.5999999046325697,2.5999999046325697,3.2699999809265097,2.5999999046325697,2.5999999046325697,2.5999999046325697
146,Croatia,HRV,13.6800003051758,15.9300003051758,17.25,17.2900009155273,16.1800003051758,13.1000003814697,11.210000038147,8.43000030517578,6.619999885559079,7.5100002288818395
149,Cuba,CUB,3.1800000667572004,3.4600000381469704,3.2899999618530296,2.70000004768372,2.4000000953674303,2.0,1.70000004768372,1.70000004768372,1.70000004768372,1.70000004768372
