,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
0,Afghanistan,AFG,SP.POP.TOTL.FE.ZS,48.815783003393,48.767111646988106,48.7000703324666,48.64132431451161,48.607049369402,48.5996676146541,48.611615718279,48.635846701712104,48.66239485205689,48.68452010323279
3,Albania,ALB,SP.POP.TOTL.FE.ZS,49.5302023047865,49.410948388365405,49.28452077080011,49.1733783745991,49.0937975259849,49.0529987420434,49.0463977665664,49.06309459593061,49.08610568941171,49.10299534366529
6,Algeria,DZA,SP.POP.TOTL.FE.ZS,49.522953791392496,49.51954315947621,49.5121975839886,49.5039396061339,49.496876511842295,49.491504583886396,49.4873804439779,49.4842678798151,49.481711564526904,49.4794046289845
9,American Samoa,ASM,SP.POP.TOTL.FE.ZS,,,,,,,,,,
12,Andorra,AND,SP.POP.TOTL.FE.ZS,,,,,,,,,,
15,Angola,AGO,SP.POP.TOTL.FE.ZS,50.5594645232624,50.559227813529,50.5538637195125,50.5471002223944,50.5413281557632,50.537006489247396,50.533476648660404,50.5304629337424,50.5274750128821,50.5241361751203
18,Antigua and Barbuda,ATG,SP.POP.TOTL.FE.ZS,52.08627450980389,52.024732598139494,51.9713692492624,51.9219550139366,51.878252877494106,51.8429961912823,51.80927429918779,51.7884962921418,51.7571950780003,51.7308634915448
21,Argentina,ARG,SP.POP.TOTL.FE.ZS,51.3284508654385,51.3142079494409,51.3001909136769,51.2865855105791,51.27348276799,51.2609743314513,51.2489899491189,51.2373484456557,51.225802201507705,51.2141455162946
24,Armenia,ARM,SP.POP.TOTL.FE.ZS,53.194119593844796,53.1503803949673,53.0900647537456,53.0319121357861,52.9890526904431,52.96509336896279,52.95547490838899,52.9565771522637,52.9615637408173,52.965341245409604
27,Aruba,ABW,SP.POP.TOTL.FE.ZS,52.3292503674669,52.352166918539496,52.3917995444191,52.4283071230342,52.465521041988104,52.49034472893721,52.5127893622878,52.5310356555751,52.551030006584504,52.5672967049435
30,Australia,AUS,SP.POP.TOTL.FE.ZS,50.0122770421264,50.050316646241505,50.0964484406563,50.1391905706398,50.170874341204396,50.18947182734329,50.197959138598,50.1996232411296,50.199534186135104,50.2012381940135
33,Austria,AUT,SP.POP.TOTL.FE.ZS,51.2299460306446,51.192887042575904,51.15114891661489,51.1021502100066,51.0448321153467,50.9780954273236,50.904307100010904,50.82942664825029,50.7612861843766,50.705154112631
36,Azerbaijan,AZE,SP.POP.TOTL.FE.ZS,50.408466745540295,50.363876414996994,50.3209909533537,50.279024526132794,50.2375362695515,50.1960704561536,50.15507882123839,50.1157491047071,50.0798738499753,50.0485591776451
39,"Bahamas, The",BHS,SP.POP.TOTL.FE.ZS,51.5352505541141,51.5227693416323,51.5047853536041,51.4846543001686,51.467664350614605,51.451221545129606,51.4382486922035,51.425052186653204,51.4154552410099,51.4064915778338
42,Bahrain,BHR,SP.POP.TOTL.FE.ZS,37.7197409073875,37.9949259274645,38.3002960390988,38.435998631811295,38.2764771444171,37.7933542947679,37.0949422285465,36.348251605668295,35.728726684231404,35.326457774907205
45,Bangladesh,BGD,SP.POP.TOTL.FE.ZS,49.214107074351396,49.244381999721796,49.2642811571794,49.2819400224771,49.3030594026594,49.328805151069005,49.357262864967495,49.3872966665271,49.416910877141504,49.4447629328965
48,Barbados,BRB,SP.POP.TOTL.FE.ZS,51.9847201461551,51.9418536612877,51.89170365888829,51.8409549723514,51.792855215244295,51.7484377077516,51.7089463331808,51.6728300307005,51.63663982774779,51.601240208650104
51,Belarus,BLR,SP.POP.TOTL.FE.ZS,53.5153042128379,53.509099722896096,53.4950170329459,53.4795268996968,53.4673831793126,53.460539139865396,53.457581416246605,53.456054224148595,53.4519401350492,53.4425066097342
54,Belgium,BEL,SP.POP.TOTL.FE.ZS,50.8921758584184,50.897846753667295,50.89866351180671,50.88327700407039,50.8445436103392,50.7786624171566,50.6906454711101,50.593319387084996,50.5042235569044,50.4355019182689
57,Belize,BLZ,SP.POP.TOTL.FE.ZS,50.000908441236,50.0247040689229,50.044691024480294,50.0667862782498,50.09087735436071,50.121471556654605,50.15740802341829,50.1925230570834,50.2291527368958,50.263944811768
60,Benin,BEN,SP.POP.TOTL.FE.ZS,50.304492344169795,50.2700309807926,50.23390254517079,50.199405278920004,50.1687695171371,50.1422635906017,50.1190046667655,50.098201703346994,50.07897111052979,50.0606358157311
63,Bermuda,BMU,SP.POP.TOTL.FE.ZS,,,,,,,,,,
66,Bhutan,BTN,SP.POP.TOTL.FE.ZS,47.4513808656319,47.415127526076795,47.3664350531866,47.307222138006495,47.2419406911806,47.16888419532349,47.0871006206048,47.0026352207594,46.92239750279779,46.853211199411106
69,Bolivia,BOL,SP.POP.TOTL.FE.ZS,49.6920527671189,49.701517979409104,49.71209049194321,49.723901806722004,49.737086434145795,49.7515732215404,49.7671683886137,49.7833991301085,49.799706456174896,49.8157761794304
72,Bosnia and Herzegovina,BIH,SP.POP.TOTL.FE.ZS,50.907564324329904,50.922032126740504,50.938802539830895,50.955973195531705,50.97213417539471,50.9865890511162,50.9993931137205,51.010536025288104,51.020903375282295,51.030186097052095
75,Botswana,BWA,SP.POP.TOTL.FE.ZS,51.2044223347554,51.38027928696071,51.5796215463278,51.747015611751095,51.845697396539705,51.8634211836059,51.8171255775311,51.730760443234395,51.6380366739983,51.561197044596796
78,Brazil,BRA,SP.POP.TOTL.FE.ZS,50.6946751834337,50.71420258949579,50.7334615213808,50.752659213079006,50.771922493218206,50.7912843511594,50.8106594294745,50.8299167629894,50.8489000631174,50.867485240326396
81,British Virgin Islands,VGB,SP.POP.TOTL.FE.ZS,,,,,,,,,,
84,Brunei Darussalam,BRN,SP.POP.TOTL.FE.ZS,48.2474656262462,48.152492374629404,48.07375610142079,48.0152668030006,47.982473476431295,47.9798280572952,48.0004994334258,48.0361805296531,48.076603522765,48.1152410493665
87,Bulgaria,BGR,SP.POP.TOTL.FE.ZS,51.3082470890347,51.3176903158124,51.331739023321,51.347940170430604,51.364431405082904,51.3809664164225,51.3978693555409,51.4140884138516,51.4286118360593,51.4406316809013
90,Burkina Faso,BFA,SP.POP.TOTL.FE.ZS,50.370002577429396,50.3252439827721,50.282218062647196,50.241006653634,50.20173803033529,50.1644289633092,50.129055881978395,50.09548152020721,50.0635660476455,50.03313355924371
93,Burundi,BDI,SP.POP.TOTL.FE.ZS,50.555333169762605,50.5374761301978,50.5207591960925,50.5036060965629,50.4850574318944,50.4647596367735,50.4434188201544,50.4219946366025,50.4015453866706,50.382872243631404
96,Cabo Verde,CPV,SP.POP.TOTL.FE.ZS,49.9322452481468,49.8759997704066,49.8653613162934,49.8686028293805,49.866600602203,49.8533343374628,49.836929929172,49.8190391419807,49.8057955834861,49.798017223393295
99,Cambodia,KHM,SP.POP.TOTL.FE.ZS,51.263325640595895,51.249048236272,51.2404825396487,51.233715839975396,51.2258950283914,51.2168620518841,51.207542712527896,51.1979812668406,51.1882843594491,51.178670027001104
102,Cameroon,CMR,SP.POP.TOTL.FE.ZS,50.0710691734853,50.0616073330622,50.053326267251904,50.044954440009796,50.03565913778711,50.025333782987296,50.0144019780128,50.0034878287467,49.993296977665395,49.9843930489511
105,Canada,CAN,SP.POP.TOTL.FE.ZS,50.389737375169204,50.3970917384501,50.405808955468295,50.412305423978395,50.41412655758229,50.41056602844271,50.4025621628782,50.3915299543153,50.3795163341899,50.368024805789396
108,Cayman Islands,CYM,SP.POP.TOTL.FE.ZS,,,,,,,,,,
111,Central African Republic,CAF,SP.POP.TOTL.FE.ZS,50.483101244523496,50.47154107227671,50.461145540243905,50.452256421181005,50.4455761866174,50.4408747812485,50.43810703297179,50.436473708178205,50.43447254571429,50.4314910625033
114,Chad,TCD,SP.POP.TOTL.FE.ZS,50.1128388948907,50.1083791405196,50.104720473225,50.1012473906877,50.0974525424225,50.093354753971006,50.0890837911052,50.0848994170785,50.0810127020442,50.077679346936996
117,Channel Islands,CHI,SP.POP.TOTL.FE.ZS,50.7006646375551,50.6655312216525,50.638190862308996,50.614538075767605,50.5910379896848,50.5673308491391,50.54723536456671,50.5290446696697,50.5096828124274,50.4943661242731
120,Chile,CHL,SP.POP.TOTL.FE.ZS,50.7876423151447,50.789118776227504,50.7895023939603,50.78642234242311,50.7784252257009,50.76488247177011,50.746953171379005,50.727031839004496,50.7083329046195,50.6927916513154
123,China,CHN,SP.POP.TOTL.FE.ZS,48.613061799576705,48.61773310039471,48.624816676894795,48.633582635472,48.6434871577742,48.6543796042457,48.6663481812862,48.6793739572695,48.6934979729146,48.7087371628449
126,Colombia,COL,SP.POP.TOTL.FE.ZS,51.00136660634979,51.0045323002108,51.0059383821554,51.002431330156895,50.9923103562498,50.9743010531095,50.9504037673888,50.92577169522939,50.9069001816329,50.89790114884211
129,Comoros,COM,SP.POP.TOTL.FE.ZS,49.5897126714956,49.58300235541161,49.576607764416195,49.5709714376012,49.566330304141204,49.563158232119996,49.560505719446105,49.558704443712905,49.557581405844005,49.5566326853305
132,"Congo, Dem. Rep.",COD,SP.POP.TOTL.FE.ZS,50.1991958643012,50.1815475807137,50.164644015053796,50.1487885340207,50.13418142562671,50.1208567730092,50.1087344507008,50.0977433863968,50.087775667051794,50.0787504403124
