,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
1,Afghanistan,AFG,SP.POP.TOTL.MA.ZS,51.184216996607,51.232888353011894,51.2999296675334,51.35867568548839,51.392950630598,51.4003323853459,51.388384281721,51.364153298287896,51.33760514794311,51.31547989676721
4,Albania,ALB,SP.POP.TOTL.MA.ZS,50.4697976952135,50.589051611634595,50.71547922919989,50.8266216254009,50.9062024740151,50.9470012579566,50.9536022334336,50.93690540406939,50.91389431058829,50.89700465633471
7,Algeria,DZA,SP.POP.TOTL.MA.ZS,50.477046208607504,50.48045684052379,50.4878024160114,50.4960603938661,50.503123488157705,50.5084954161137,50.5126195560221,50.51573212018501,50.518288435473096,50.5205953710155
10,American Samoa,ASM,SP.POP.TOTL.MA.ZS,,,,,,,,,,
13,Andorra,AND,SP.POP.TOTL.MA.ZS,,,,,,,,,,
16,Angola,AGO,SP.POP.TOTL.MA.ZS,49.4405354767376,49.440772186471,49.4461362804875,49.4528997776056,49.4586718442368,49.462993510752604,49.466523351339596,49.4695370662576,49.472524987118,49.4758638248797
19,Antigua and Barbuda,ATG,SP.POP.TOTL.MA.ZS,47.91372549019611,47.975267401860506,48.0286307507376,48.0780449860634,48.121747122505894,48.1570038087177,48.19072570081221,48.2115037078582,48.2428049219997,48.2691365084552
22,Argentina,ARG,SP.POP.TOTL.MA.ZS,48.6715491345615,48.6857920505591,48.6998090863231,48.7134144894209,48.72651723201,48.7390256685487,48.7510100508811,48.7626515543443,48.774197798492295,48.7858544837054
25,Armenia,ARM,SP.POP.TOTL.MA.ZS,46.805880406155204,46.8496196050327,46.9099352462544,46.9680878642139,47.0109473095569,47.03490663103721,47.04452509161101,47.0434228477363,47.0384362591827,47.034658754590396
28,Aruba,ABW,SP.POP.TOTL.MA.ZS,47.6707496325331,47.647833081460504,47.6082004555809,47.5716928769658,47.534478958011896,47.50965527106279,47.4872106377122,47.4689643444249,47.448969993415496,47.4327032950565
31,Australia,AUS,SP.POP.TOTL.MA.ZS,49.9877229578736,49.949683353758495,49.9035515593437,49.8608094293602,49.829125658795604,49.81052817265671,49.802040861402,49.8003767588704,49.800465813864896,49.7987618059865
